Game Name,System Full,Units(m),Publisher,Developer,Image_URL,Release Date
WarpSpeed,Sega Genesis,0.0,Accolade,Accolade,https://www.vgchartz.com/games/boxart/full_1165574AmericaFrontccc.jpg,01/01/1993
Mortal Kombat,Sega Genesis,2.67,Arena Entertainment,Probe Entertainment Limited,https://www.vgchartz.com/games/boxart/594667ccc.jpg,13/09/1993
Battletoads,Sega Genesis,0.0,Tradewest,Rare Ltd.,https://www.vgchartz.com/games/boxart/full_battletoads_8AmericaFront.jpg,01/01/1991
Syd of Valis,Sega Genesis,0.0,Renovation,Telenet,https://www.vgchartz.com/games/boxart/full_6016693AmericaFrontccc.jpg,01/01/1992
Shadowrun,Sega Genesis,0.0,Sega,Blue Sky Software,https://www.vgchartz.com/games/boxart/full_shadowrun_9AmericaFront.jpg,16/05/1994
Wolverine: Adamantium Rage,Sega Genesis,0.0,Acclaim Entertainment,Teeny Weeny Games,https://www.vgchartz.com/games/boxart/5408496ccc.jpg,01/01/1994
Pirates! Gold,Sega Genesis,0.0,Microprose,MicroProse,https://www.vgchartz.com/games/boxart/full_1269779AmericaFrontccc.jpg,01/01/1993
Earthworm Jim,Sega Genesis,0.0,Playmates,Shiny Entertainment,https://www.vgchartz.com/games/boxart/8657815ccc.jpg,09/06/1994
Saturday Night Slammasters,Sega Genesis,0.0,Capcom,Capcom,https://www.vgchartz.com/games/boxart/5309686ccc.jpg,01/01/1994
James Pond 2: Codename RoboCod,Sega Genesis,0.0,Electronic Arts,Millennium Interactive,https://www.vgchartz.com/games/boxart/8819782ccc.jpg,18/08/1993
Arcus Odyssey,Sega Genesis,0.0,Renovation,Wolf Team,https://www.vgchartz.com/games/boxart/full_arcus-odyssey_889AmericaFront.jpg,01/01/1991
ESWAT: City Under Siege,Sega Genesis,0.0,Sega,Sega,https://www.vgchartz.com/games/boxart/full_eswat-city-under-siege_5AmericaFront.jpg,13/07/1990
